aaa;bbb;ccc;ddd;eee;fff
64;14;0;1;1;13
63;14;1;1;1;14
64;37;21;22;22;38
57;39;15;18;16;40
82;18;0;0;1;19
66;33;16;17;16;33
73;27;15;16;17;28
60;50;35;37;35;51
65;29;14;15;14;28
76;32;17;17;17;32
70;18;1;1;1;18
70;42;23;24;23;43
78;31;15;16;17;31
61;34;18;19;18;34
69;34;21;22;21;33
78;55;40;42;41;57
62;46;31;33;32;48
57;34;18;19;18;35
53;29;6;7;7;31
47;29;4;4;2;28
62;35;15;17;16;36
80;17;0;0;1;16
72;33;17;18;17;32
66;32;16;17;16;33
65;35;17;19;18;36
54;45;28;30;29;46
69;42;24;25;24;41
57;32;9;10;9;32
66;32;16;17;17;33
63;34;17;18;17;33
72;19;2;3;3;20
59;49;28;30;28;49
76;38;22;23;23;38
78;36;20;22;21;36
61;35;19;21;20;33
71;41;27;29;28;40
60;29;14;15;13;28
70;17;1;0;0;17
62;28;4;5;5;27
62;33;15;15;15;34
73;39;25;26;25;41
60;36;22;24;23;36
60;33;16;17;17;33
65;37;25;26;24;37
81;38;24;24;24;38
70;33;15;16;15;33
66;32;9;10;10;30
56;34;14;15;15;35
69;26;10;10;10;25
60;34;16;17;16;33
75;35;20;21;19;34
64;29;11;11;10;28
59;33;20;21;20;32
71;23;3;4;4;22
71;33;20;21;21;33
64;28;13;13;14;29
68;31;15;16;15;30
71;32;8;9;8;31
73;35;18;19;19;35
63;44;27;29;29;45
80;34;17;19;18;36
76;26;10;9;10;25
70;31;13;14;13;30
75;32;17;18;18;31
68;43;27;29;28;44
63;41;26;28;27;44
63;15;2;2;1;16
58;32;14;16;14;31
50;27;9;10;9;28
59;18;1;1;1;19
64;33;18;20;19;33
64;31;15;16;16;31
65;28;10;11;10;26
65;26;12;12;12;25
68;44;26;27;27;45
76;35;19;21;20;35
74;17;0;0;0;16
79;30;12;14;13;29
62;40;24;26;25;42
80;35;19;20;19;34
62;33;17;18;18;32
81;37;21;23;22;38
86;35;21;23;22;35
59;34;17;18;16;34
67;25;5;5;5;25
66;30;15;16;16;30
66;39;23;24;23;38
69;37;19;21;20;35
67;33;9;10;10;34
79;35;18;19;19;34
59;45;26;29;26;46
74;32;19;19;20;31
76;16;0;1;1;15
55;33;12;12;12;33
65;37;17;20;18;37
63;39;26;27;26;42
71;16;1;1;1;18
61;44;27;30;29;45
78;16;0;1;0;16
77;18;0;0;0;18
74;42;28;29;29;42
65;37;20;21;20;38
69;40;26;28;27;43
70;36;16;17;16;35
67;37;20;22;21;38
67;17;1;1;1;17
67;28;14;15;14;29
68;15;1;0;0;15
68;34;21;21;21;35
74;27;11;12;12;27
64;19;1;1;1;18
58;33;13;13;13;33
70;40;27;29;27;43
62;40;25;27;26;43
68;33;16;17;17;33
54;48;32;34;33;48
77;35;21;22;22;34
48;28;7;7;6;29
70;31;13;14;14;29
61;15;1;1;0;15
56;31;16;17;16;31
62;40;25;27;26;41
62;30;14;15;15;29
56;24;0;1;0;23
66;30;15;16;15;30
67;33;16;17;17;33
71;16;0;0;1;14
70;31;19;21;20;32
73;19;3;3;3;20
81;29;12;13;13;27
65;28;10;10;10;28
64;43;25;27;26;44
64;28;11;11;11;28
62;37;17;19;18;38
73;37;23;24;23;39
65;34;17;19;18;35
74;34;18;19;19;33
68;32;13;14;13;31
65;32;17;17;16;32
69;24;10;11;11;25
68;30;13;14;13;29
69;16;1;0;1;15
74;53;36;38;37;56
65;32;18;19;18;32
69;39;21;23;21;38
67;30;14;15;15;30
77;39;24;25;25;39
63;29;14;15;15;30
75;40;24;26;26;42
70;39;27;29;29;40
70;20;6;6;6;20
67;35;18;19;18;35
65;39;24;26;24;41
